Exit Code,Output Messages,Exit Code Count,Exit Code Iterations
0,None,256,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63-64-65-66-67-68-69-70-71-72-73-74-75-76-77-78-79-80-81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100-101-102-103-104-105-106-107-108-109-110-111-112-114-115-116-117-118-119-120-121-122-123-124-125-126-127-128-129-130-131-132-135-137-143-145-148-153-154-157-160-162-163-173-175-176-179-181-182-189-192-193-194-197-199-203-208-214-221-223-225-228-229-232-233-234-236-244-245-249-250-252-255-259-265-266-267-269-270-273-274-277-280-281-282-283-284-286-289-290-291-294-295-297-300-303-304-305-306-307-311-312-313-315-317-318-319-320-322-323-324-327-328-329-331-332-333-335-336-338-339-340-341-342-345-346-347-349-352-353-354-356-358-359-360-361-363-366-367-372-373-374-378-380-384-385-387-388-390-394-395-398-410-411-412-413-414
1,None,145,113-133-134-136-138-139-140-141-142-144-146-147-149-150-151-152-155-156-158-159-161-164-165-166-167-168-169-170-171-172-174-177-178-180-183-184-185-186-187-188-190-191-195-196-198-200-201-202-204-205-206-207-209-210-211-212-213-215-216-217-218-219-220-222-224-226-227-230-231-235-237-238-239-240-241-242-243-246-247-248-251-253-254-256-257-258-260-261-262-263-264-268-271-272-275-276-278-279-285-287-288-292-293-296-298-299-301-302-308-309-310-314-316-321-325-326-330-334-337-343-344-348-350-351-355-357-362-364-365-369-370-371-375-381-383-386-389-392-393-396-399-404-406-408-409
-1,Time Limit of Iteration reached,14,368-376-377-379-382-391-397-400-401-402-403-405-407-415
