Exit Code,Output Messages,Exit Code Count,Exit Code Iterations
1,None,43,1-9-10-23-35-36-37-38-39-42-43-44-45-47-49-50-51-52-54-56-57-58-59-60-61-62-63-64-65-66-68-70-71-72-73-74-75-76-77-78-79-80-81
0,None,25,2-3-4-6-7-8-11-12-13-14-15-16-17-18-19-20-21-22-24-26-28-29-30-31-33
-1,Invalid Move,13,5-25-27-32-34-40-41-46-48-53-55-67-69
