Exit Code,Output Messages,Exit Code Count,Exit Code Iterations
1,None,36,1-2-3-4-5-6-7-8-9-16-17-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-53-54-58-59-60-62-65
-1,Invalid Move,17,10-11-12-13-14-15-18-47-48-49-50-55-56-57-61-63-64
0,None,12,37-38-39-40-41-42-43-44-45-46-51-52
