FuzzAttemptNr,Timestamp,ExecutionTime,ExitCode0,ExitCode1,ExitCode10,ExitCodeOther
1,08-06-2023 07:28,00:15,0, 0,100,0
2,08-06-2023 07:29,00:16,0, 0,100,0
3,08-06-2023 07:29,00:15,0, 0,100,0
4,08-06-2023 07:30,00:15,0, 0,100,0
5,08-06-2023 07:32,00:14,0, 0,100,0
6,08-06-2023 07:36,00:15,0, 0,100,0
7,08-06-2023 07:41,00:14,0, 0,100,0
8,08-06-2023 07:42,00:15,0, 0,100,0
9,08-06-2023 07:42,00:15,0, 0,100,0
10,08-06-2023 07:45,00:17,0, 0,100,0
11,08-06-2023 08:10,00:14,0, 0,100,0
