Fuzz Attempt Nr.,Date and Time,Execution Time,Exit Code 0,Exit Code 1,Exit Code 10,Exit Code Other
1,14-08-2023 12:22,10:01,210,0,0,0
1,14-08-2023 12:22,10:01,0,0,0,71
1,14-08-2023 12:22,10:01,0,1,0,0
2,14-08-2023 12:34,10:01,209,0,0,0
2,14-08-2023 12:34,10:01,0,0,0,59
2,14-08-2023 12:34,10:01,0,3,0,0
