Fuzz Attempt Nr.,Date and Time,Exit Code,Output Messages,Count
1,14-08-2023 12:22,-1,Invalid Move,71
1,14-08-2023 12:22,0,None,210
1,14-08-2023 12:22,1,None,1
2,14-08-2023 12:34,-1,Invalid Move,59
2,14-08-2023 12:34,0,None,209
2,14-08-2023 12:34,1,None,3
