Fuzz Attempt Nr.,Date and Time,Iteration Nr.,Exit Code,Output Messages,Action Sequence,Map File Name,Map File Type,Map File Custom Attribute,Absolute Map File Path,Relative Map File Path
1,23-06-2023 21:35,27,10,Widths mismatch,SWE,map_27.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_27.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_27.txt
1,23-06-2023 21:35,28,10,More than one player,SWE,map_28.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_28.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_28.txt
1,23-06-2023 21:35,29,10,Widths mismatch,SWE,map_29.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_29.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_29.txt
1,23-06-2023 21:35,30,10,More than one player,SWE,map_30.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_30.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_30.txt
1,23-06-2023 21:35,31,10,Widths mismatch,SWE,map_31.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_31.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_31.txt
1,23-06-2023 21:35,32,10,More than one player,SWE,map_32.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_32.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_32.txt
1,23-06-2023 21:35,33,10,More than one player,SWE,map_33.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_33.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_33.txt
1,23-06-2023 21:35,34,10,More than one player,SWE,map_34.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_34.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_34.txt
1,23-06-2023 21:35,35,10,Widths mismatch,SWE,map_35.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_35.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_35.txt
1,23-06-2023 21:35,36,10,More than one player,SWE,map_36.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_36.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_36.txt
1,23-06-2023 21:35,37,10,More than one player,SWE,map_37.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_37.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_37.txt
1,23-06-2023 21:35,38,10,More than one player,SWE,map_38.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_38.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_38.txt
1,23-06-2023 21:35,39,10,Widths mismatch,SWE,map_39.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_39.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_39.txt
1,23-06-2023 21:35,40,10,Widths mismatch,SWE,map_40.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_40.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_40.txt
1,23-06-2023 21:35,41,10,Widths mismatch,SWE,map_41.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_41.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_41.txt
1,23-06-2023 21:35,42,10,Widths mismatch,SWE,map_42.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_42.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_42.txt
1,23-06-2023 21:35,43,10,Widths mismatch,SWE,map_43.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_43.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_43.txt
1,23-06-2023 21:35,44,10,Widths mismatch,SWE,map_44.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_44.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_44.txt
1,23-06-2023 21:35,45,10,More than one player,SWE,map_45.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_45.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_45.txt
1,23-06-2023 21:35,46,10,Widths mismatch,SWE,map_46.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_46.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_46.txt
1,23-06-2023 21:35,47,10,No food,SWE,map_47.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_47.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_47.txt
1,23-06-2023 21:35,48,10,Widths mismatch,SWE,map_48.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_48.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_48.txt
