Exit Code,Output Messages,Exit Code Count,Exit Code Iterations
10,More than one player,146,2-3-4-6-7-9-10-12-13-14-15-17-19-22-23-25-28-30-32-33-34-36-37-38-45-49-50-51-52-53-56-57-60-63-64-65-66-68-70-71-73-74-75-76-78-80-84-85-86-89-92-94-95-96-100-101-102-103-104-106-107-108-109-110-111-114-115-117-118-120-123-127-128-129-130-131-132-135-137-138-139-140-141-142-143-144-145-147-148-150-152-154-156-158-159-164-165-166-167-168-169-170-171-172-174-176-177-178-181-182-185-186-188-189-191-199-200-202-208-209-210-212-214-215-216-217-218-219-222-223-225-228-230-231-232-233-235-238-239-240-242-243-245-248-249-250
10,Widths mismatch,77,5-8-11-20-26-27-29-31-35-39-40-41-42-43-44-46-48-54-55-61-62-67-69-72-77-79-81-87-88-90-91-97-98-112-113-116-119-121-124-125-133-134-136-146-149-151-153-155-157-160-161-173-180-183-184-187-190-192-193-196-197-201-205-206-207-211-213-220-224-226-227-229-234-237-241-246-247
10,No columns,14,1-24-59-82-83-93-122-126-162-175-179-194-203-204
10,No lines,11,16-18-21-58-99-163-195-198-221-236-244
10,No food,2,47-105
