Exit Code,Output Messages,Exit Code Count,Exit Code Iterations
-1,Invalid Move,198,61-63-69-71-73-74-75-76-77-78-79-80-81-83-84-85-92-94-95-97-100-113-114-115-127-128-129-135-137-139-140-141-142-143-144-145-147-148-149-150-151-154-156-157-158-159-160-161-162-163-164-165-166-168-170-171-172-173-175-176-177-178-179-181-182-183-184-185-186-187-188-189-190-191-192-193-194-195-196-197-198-199-200-201-202-205-206-207-208-209-210-211-212-213-214-215-217-219-223-224-226-228-229-230-231-233-234-236-238-239-240-241-242-243-244-245-246-247-248-249-250-251-253-254-255-256-258-259-260-261-262-264-265-266-267-268-271-274-275-277-279-283-285-286-289-292-294-295-296-297-298-299-300-301-302-305-306-307-308-310-311-312-313-315-316-317-320-325-326-329-330-332-333-334-335-336-337-338-339-340-341-342-344-347-348-349-353-355-356-357-358-359-360-361-362-363-364-365
0,None,159,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-62-64-65-66-67-68-70-72-82-86-87-88-89-90-91-93-96-98-99-101-102-103-104-105-106-107-108-109-110-111-112-116-117-118-119-120-121-123-124-125-126-130-138-146-153-155-167-169-174-180-203-204-216-218-220-221-222-225-227-235-237-252-257-263-269-270-272-273-276-278-280-281-282-284-287-288-290-291-293-303-304-309-314-318-319-321-322-323-324-327-328-331-343-345-346-350-351-352-354
1,None,8,122-131-132-133-134-136-152-232
