Exit Code,Output Messages,Exit Code Count,Exit Code Iterations
0,None,209,1-3-7-8-9-10-11-12-13-14-15-17-19-20-21-23-24-25-26-27-28-31-32-33-34-35-37-38-39-40-41-42-43-44-45-46-47-48-50-51-52-53-55-56-58-60-62-63-64-65-66-67-68-69-70-71-72-74-75-76-78-79-81-82-83-84-85-86-87-88-89-91-92-93-94-95-96-97-98-100-101-102-103-104-105-107-108-109-110-111-113-114-115-116-117-118-119-120-121-122-124-125-126-127-128-129-130-131-133-134-135-136-137-138-139-141-142-143-144-145-146-148-150-151-152-154-155-156-157-159-161-163-164-165-166-167-168-169-170-172-174-175-176-177-178-179-180-181-182-183-184-185-186-188-190-191-192-193-194-195-196-197-199-201-202-204-209-211-212-213-214-215-216-217-218-219-222-224-227-228-231-233-234-237-239-240-241-242-243-244-245-246-247-248-249-251-252-255-258-260-261-263-264-265-266-267-268-270-271
-1,Invalid Move,59,2-4-5-6-16-18-22-29-30-36-49-54-57-59-61-73-77-80-90-99-106-112-123-132-147-149-153-158-160-162-173-187-189-198-200-203-205-207-208-210-220-221-223-225-226-229-230-232-235-236-238-250-253-254-256-257-259-262-269
1,None,3,140-171-206
