Exit Code,Output Messages,Exit Code Count,Exit Code Iterations
0,None,210,1-2-3-4-9-10-11-12-14-15-16-17-18-19-20-21-23-24-26-27-28-30-31-32-33-34-35-38-39-42-45-46-48-49-50-51-52-53-56-57-58-59-60-61-62-63-65-67-69-70-71-73-75-76-77-78-79-80-82-83-84-85-88-89-90-91-93-94-95-96-97-98-99-100-103-104-105-106-108-109-110-111-114-115-116-117-118-119-120-121-122-123-124-125-127-128-129-130-132-133-135-136-137-138-139-140-141-143-144-145-146-150-153-154-155-156-158-159-160-163-164-165-168-171-173-174-175-176-177-178-182-183-184-185-186-188-190-191-192-195-196-197-198-199-200-201-202-203-206-207-208-210-211-213-214-216-217-219-220-221-222-223-224-225-226-227-229-230-231-232-233-234-235-236-237-238-239-240-241-243-244-245-247-248-249-251-254-255-256-257-258-259-261-262-263-264-265-266-267-268-269-272-273-274-275-277-278-279-280-282
-1,Invalid Move,71,5-6-7-8-13-22-25-29-36-37-40-41-43-44-47-54-55-64-66-68-72-74-81-86-87-92-101-102-107-112-113-126-134-142-147-148-149-151-152-157-161-162-166-167-169-170-172-179-180-181-187-189-193-194-204-205-209-212-215-218-228-242-246-250-252-253-260-270-271-276-281
1,None,1,131
