Exit Code,Output Messages,Exit Code Count,Exit Code Iterations
0,None,65,1-2-3-4-5-6-7-8-9-10-11-13-14-15-16-17-18-19-20-22-23-24-25-26-27-28-29-31-46-47-50-52-53-54-55-57-59-60-61-64-66-67-68-69-70-71-72-73-74-75-76-77-78-79-80-81-82-83-84-85-86-87-89-90-91
-1,Invalid Move,20,21-32-33-34-35-36-37-38-39-40-41-42-43-44-45-49-51-56-58-65
1,None,6,12-30-48-62-63-88
