Fuzz Attempt Nr.,Date and Time,Exit Code,Output Messages,Count
1,04-09-2023 16:22,-1,Invalid Move,17
1,04-09-2023 16:22,0,None,12
1,04-09-2023 16:22,1,None,36
2,04-09-2023 16:29,-1,Invalid Move,13
2,04-09-2023 16:29,0,None,25
2,04-09-2023 16:29,1,None,43
3,04-09-2023 19:25,-1,Invalid Move,5
3,04-09-2023 19:25,0,None,30
3,04-09-2023 19:25,1,None,48
4,04-09-2023 19:56,-1,Invalid Move,20
4,04-09-2023 19:56,0,None,65
4,04-09-2023 19:56,1,None,6
